lexeme      token type
var         29
x           2
,           17
w           2
;           18
const       28
y           2
=           9
5           3
;           18
begin       21
read        32
x           2
;           18
x           2
:=          20
7           3
;           18
x           2
:=          20
x           2
+           4
1           3
/           7
(           15
2           3
*           6
(           15
2           3
/           7
2           3
)           16
)           16
;           18
x           2
:=          20
x           2
+           4
1           3
*           6
(           15
2           3
-           5
(           15
2           3
*           6
(           15
2           3
/           7
2           3
)           16
)           16
)           16
;           18
x           2
:=          20
x           2
+           4
1           3
-           5
(           15
2           3
+           4
(           15
2           3
-           5
2           3
+           4
3           3
-           5
7           3
)           16
)           16
;           18
x           2
:=          20
x           2
+           4
1           3
+           4
(           15
2           3
/           7
(           15
2           3
+           4
(           15
2           3
-           5
2           3
)           16
)           16
)           16
;           18
w           2
:=          20
2           3
;           18
a           2
:=          20
1           3
;           18
write       31
x           2
;           18
write       31
w           2
;           18
end         22
.           19
